"johnbaston,,""'((,,,.",STR CMMA CMMA DQUT SQUT LPRN LPRN CMMA CMMA CMMA DOT,0.4 0.5 0.6000000000000001 0.7000000000000001 0.8 0.8 0.8 0.7000000000000001 0.6000000000000001 0.5 0.4,POST,sqlmap/1.2.4#stable (http://sqlmap.org),threat
"johnbaston,,""'((,,,.",STR CMMA CMMA DQUT SQUT LPRN LPRN CMMA CMMA CMMA DOT,0.4 0.5 0.6000000000000001 0.7000000000000001 0.8 0.8 0.8 0.7000000000000001 0.6000000000000001 0.5 0.4,POST,sqlmap/1.2.4#stable (http://sqlmap.org),threat
"johnbaston'PEVZIv<'"">BaIiew",STR SQUT STR LT SQUT DQUT STR,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,POST,sqlmap/1.2.4#stable (http://sqlmap.org),threat
"johnbaston'PEVZIv<'"">BaIiew",STR SQUT STR LT SQUT DQUT STR,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,POST,sqlmap/1.2.4#stable (http://sqlmap.org),threat
johnbaston') AND 9388=2972 AND ('qjCG'='qjCG,STR SQUT RPRN AND INT EQ INT AND LPRN SQUT STR SQUT EQ SQUT STR,0.2857142857142857 0.3571428571428571 0.42857142857142855 0.5 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5 0.42857142857142855 0.3571428571428571 0.2857142857142857,POST,sqlmap/1.2.4#stable (http://sqlmap.org),threat
johnbaston') AND 9388=2972 AND ('qjCG'='qjCG,STR SQUT RPRN AND INT EQ INT AND LPRN SQUT STR SQUT EQ SQUT STR,0.2857142857142857 0.3571428571428571 0.42857142857142855 0.5 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5 0.42857142857142855 0.3571428571428571 0.2857142857142857,POST,sqlmap/1.2.4#stable (http://sqlmap.org),threat
johnbaston') AND 3303=3303 AND ('OUKD'='OUKD,STR SQUT RPRN AND INT EQ INT AND LPRN SQUT STR SQUT EQ SQUT STR,0.2857142857142857 0.3571428571428571 0.42857142857142855 0.5 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5 0.42857142857142855 0.3571428571428571 0.2857142857142857,POST,sqlmap/1.2.4#stable (http://sqlmap.org),threat
johnbaston') AND 3303=3303 AND ('OUKD'='OUKD,STR SQUT RPRN AND INT EQ INT AND LPRN SQUT STR SQUT EQ SQUT STR,0.2857142857142857 0.3571428571428571 0.42857142857142855 0.5 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5 0.42857142857142855 0.3571428571428571 0.2857142857142857,POST,sqlmap/1.2.4#stable (http://sqlmap.org),threat
johnbaston')) AND 8090=8789 AND (('DEwW'='DEwW,STR SQUT RPRN RPRN AND INT EQ INT AND LPRN LPRN SQUT STR SQUT EQ SQUT STR,0.25 0.3125 0.375 0.4375 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4375 0.375 0.3125 0.25,POST,sqlmap/1.2.4#stable (http://sqlmap.org),threat
johnbaston')) AND 8090=8789 AND (('DEwW'='DEwW,STR SQUT RPRN RPRN AND INT EQ INT AND LPRN LPRN SQUT STR SQUT EQ SQUT STR,0.25 0.3125 0.375 0.4375 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4375 0.375 0.3125 0.25,POST,sqlmap/1.2.4#stable (http://sqlmap.org),threat
